,user_id,track_id,track_name,artist_name,rating
0,2mroJNWd7Omg702Y8ZSjHp,1Ukxccao1BlWrPhYkcXbwZ,From The Start,Laufey,4
1,2mroJNWd7Omg702Y8ZSjHp,099VJ2B051cYigseDGXYu8,April,Yakul,2
2,2mroJNWd7Omg702Y8ZSjHp,5TgZ7lOUugOdabBcD9a6ud,Nightrider,"Tom Misch, Yussef Dayes, Freddie Gibbs",1
3,2mroJNWd7Omg702Y8ZSjHp,5BzADVUCRuxiPz2ah64RLk,Back To Your Place,October London,5
4,2mroJNWd7Omg702Y8ZSjHp,7zkn4cU9nIloNKBkroFbvD,Emancipation Suite,Scatter The Atoms That Remain,4
5,2mroJNWd7Omg702Y8ZSjHp,5SlkdXP1RfdEUlFsljsI7r,Chase the Clouds,Rai Thistlethwayte,5
6,2mroJNWd7Omg702Y8ZSjHp,709p9UGPAuyImWf1Z3vjRo,Let You Break My Heart Again,"Laufey, Philharmonia Orchestra",4
7,2mroJNWd7Omg702Y8ZSjHp,0pfpeTGQOWlGp6YUUbBD42,Bewitched,Laufey,5
8,2mroJNWd7Omg702Y8ZSjHp,4Goj7amQLl2PiPYaiB0VlV,Tidal Wave,"Tom Misch, Yussef Dayes",4
9,2mroJNWd7Omg702Y8ZSjHp,4Y9Ge3i5r0vgFAZq653Yx3,Second Best,Laufey,5
10,2mroJNWd7Omg702Y8ZSjHp,5cgcXeLbqdsYQtlJWkDZC5,Marching Band (feat. Masego),"Yussef Dayes, Masego",3
11,2mroJNWd7Omg702Y8ZSjHp,1YxQxV5sKZN1TgVpXl5MLA,Dreamer,Laufey,3
12,2mroJNWd7Omg702Y8ZSjHp,70RUzztH81zpAMm9jbMLDi,Mulholland Drive,"Snoop Dogg, October London, LaToiya Williams",1
13,2mroJNWd7Omg702Y8ZSjHp,4ywdVPBmQr1PAkAQitNqyS,Time To Lose,"Yakul, Adi Oasis",3
14,2mroJNWd7Omg702Y8ZSjHp,0eue2iKYFkuLYXkfEMjKuJ,Make Me Wanna,October London,3
15,2mroJNWd7Omg702Y8ZSjHp,7GuUTpFUgkvNWswtLMnyXX,I'm Gonna Be (500 Miles),"Oz Noy, Rai Thistlethwayte, Darren Stanley",4
16,2mroJNWd7Omg702Y8ZSjHp,3vQUbb9eerjd4UhEnzHsmT,Wrong Way,Yakul,3
17,2mroJNWd7Omg702Y8ZSjHp,5ZZgO8koKzaat2WsEZu8pr,Midnight Love Affair,October London,5
18,2mroJNWd7Omg702Y8ZSjHp,3JFPqvgUSpO9quhkRO2Lfs,Company,Yakul,1
19,2mroJNWd7Omg702Y8ZSjHp,39fD0qvjgk8RarJnoBiDTx,Lovesick,Laufey,5
20,2mroJNWd7Omg702Y8ZSjHp,543porKxyhy643TaLca8PQ,Chérie,Kurosuke,5
21,2mroJNWd7Omg702Y8ZSjHp,5NvOZCjZaGGGL597exlQWv,Line Without a Hook,Ricky Montgomery,4
22,2mroJNWd7Omg702Y8ZSjHp,0LzwLyzKsViB56qZOJ7xKg,I Will Survive,"Scary Pockets, Mario Jose",4
23,2mroJNWd7Omg702Y8ZSjHp,6E7DsxwI4eOcMHLYRUDCaw,Lampu Merah,The Lantis,3
24,2mroJNWd7Omg702Y8ZSjHp,39AbClWSfOgray21m18dry,Akibat Terlalu Indah,KIM,3
25,2mroJNWd7Omg702Y8ZSjHp,7F4tV8SiUy6itZTdAzdafO,penjaga hati,Nadhif Basalamah,4
26,2mroJNWd7Omg702Y8ZSjHp,2gTLLRw4CBl709U3dRICEh,Beautiful Day,Coldiac,1
27,2mroJNWd7Omg702Y8ZSjHp,0I4tLC5laQVZK2Lrhwukek,The Wonder,Arya Novanda,4
28,2mroJNWd7Omg702Y8ZSjHp,0rmhhawrhWNqqZprQTGWWz,That Somebody,Rafi Sudirman,5
29,2mroJNWd7Omg702Y8ZSjHp,037b7twXc0hVbTqUjjK3MI,Tak Ada Salahnya,Adjani,3
30,2mroJNWd7Omg702Y8ZSjHp,4oYO0bHAPtZFDhgnBBZuKQ,Dimiliki Dia,Allan Andersn,3
31,2mroJNWd7Omg702Y8ZSjHp,3dqeDrCbjtLVD3Q4Ido5lb,Berhenti Menahan,Key B,4
32,2mroJNWd7Omg702Y8ZSjHp,6W0tadR4h853lh9emTqwyp,Don't You Worry 'Bout a Thing,Incognito,3
